demand_growth_curve_id,label,description,2025,2030,2035,2040,2045,2050,provenance_note
flat_2025__make_cement_equivalent,Flat from 2025 — make_cement_equivalent,Keeps each service demand at its 2025 anchor across all milestone years. Applies to make_cement_equivalent.,1,1,1,1,1,1,App-owned convenience preset. Not part of the research library evidence.
flat_2025__serve_commercial_building_occupants,Flat from 2025 — serve_commercial_building_occupants,Keeps each service demand at its 2025 anchor across all milestone years. Applies to serve_commercial_building_occupants.,1,1,1,1,1,1,App-owned convenience preset. Not part of the research library evidence.
flat_2025__account_remaining_commercial_building_services,Flat from 2025 — account_remaining_commercial_building_services,Keeps residual role account_remaining_commercial_building_services. Proxy: serve_commercial_building_occupants.,1,1,1,1,1,1,Residual-stub migration proxy. Confidence: low; replace with sector evidence when explicit roles are authored.
flat_2025__account_residual_construction,Flat from 2025 — account_residual_construction,Keeps residual role account_residual_construction. Proxy: flat 2025 residual proxy.,1,1,1,1,1,1,Residual-stub migration proxy. Confidence: low; replace with sector evidence when explicit roles are authored.
flat_2025__produce_cropping_horticulture_output,Flat from 2025 — produce_cropping_horticulture_output,Keeps each service demand at its 2025 anchor across all milestone years. Applies to produce_cropping_horticulture_output.,1,1,1,1,1,1,App-owned convenience preset. Not part of the research library evidence.
flat_2025__make_crude_steel,Flat from 2025 — make_crude_steel,Keeps each service demand at its 2025 anchor across all milestone years. Applies to make_crude_steel.,1,1,1,1,1,1,App-owned convenience preset. Not part of the research library evidence.
flat_2025__supply_grid_electricity,Flat from 2025 — supply_grid_electricity,Keeps supply_grid_electricity at its anchor value across all milestone years.,1,1,1,1,1,1,Derived migration convenience curve.
flat_2025__account_grid_losses_and_own_use,Flat from 2025 — account_grid_losses_and_own_use,Keeps residual role account_grid_losses_and_own_use. Proxy: supply_grid_electricity system demand proxy.,1,1,1,1,1,1,Residual-stub migration proxy. Confidence: low; replace with sector evidence when explicit roles are authored.
flat_2025__remove_co2_engineered_removals,Flat from 2025 — remove_co2_engineered_removals,Keeps remove_co2_engineered_removals at its anchor value across all milestone years.,1,1,1,1,1,1,Derived migration convenience curve.
flat_2025__move_freight_by_road,Flat from 2025 — move_freight_by_road,Keeps each service demand at its 2025 anchor across all milestone years. Applies to move_freight_by_road.,1,1,1,1,1,1,App-owned convenience preset. Not part of the research library evidence.
flat_2025__deliver_high_temperature_heat,Flat from 2025 — deliver_high_temperature_heat,Keeps each service demand at its 2025 anchor across all milestone years. Applies to deliver_high_temperature_heat.,1,1,1,1,1,1,App-owned convenience preset. Not part of the research library evidence.
flat_2025__remove_co2_land_sequestration,Flat from 2025 — remove_co2_land_sequestration,Keeps remove_co2_land_sequestration at its anchor value across all milestone years.,1,1,1,1,1,1,Derived migration convenience curve.
flat_2025__produce_livestock_output,Flat from 2025 — produce_livestock_output,Keeps each service demand at its 2025 anchor across all milestone years. Applies to produce_livestock_output.,1,1,1,1,1,1,App-owned convenience preset. Not part of the research library evidence.
flat_2025__deliver_low_temperature_heat,Flat from 2025 — deliver_low_temperature_heat,Keeps each service demand at its 2025 anchor across all milestone years. Applies to deliver_low_temperature_heat.,1,1,1,1,1,1,App-owned convenience preset. Not part of the research library evidence.
flat_2025__account_residual_manufacturing,Flat from 2025 — account_residual_manufacturing,"Keeps residual role account_residual_manufacturing. Proxy: deliver_low_temperature_heat, deliver_medium_temperature_heat, deliver_high_temperature_heat, make_crude_steel, make_cement_equivalent.",1,1,1,1,1,1,Residual-stub migration proxy. Confidence: low; replace with sector evidence when explicit roles are authored.
flat_2025__deliver_medium_temperature_heat,Flat from 2025 — deliver_medium_temperature_heat,Keeps each service demand at its 2025 anchor across all milestone years. Applies to deliver_medium_temperature_heat.,1,1,1,1,1,1,App-owned convenience preset. Not part of the research library evidence.
flat_2025__account_residual_mining_energy,Flat from 2025 — account_residual_mining_energy,Keeps residual role account_residual_mining_energy. Proxy: flat 2025 residual proxy.,1,1,1,1,1,1,Residual-stub migration proxy. Confidence: low; replace with sector evidence when explicit roles are authored.
