reporting_allocation_id,role_id,reporting_system,sector,subsector,reporting_bucket,allocation_basis,allocation_share,notes
serve_residential_building_occupants__phase1_accounting,serve_residential_building_occupants,phase1_package_accounting,buildings,residential,residential_building_services,role_activity,1.0,Initial one to one mapping from current reporting labels.
provide_residential_water_heating__phase1_accounting,provide_residential_water_heating,phase1_package_accounting,buildings,residential_water_heating,residential_building_services,role_activity,1.0,End-use child allocation; should be reported with decomposition context to avoid double counting aggregate residential building services.
serve_commercial_building_occupants__phase1_accounting,serve_commercial_building_occupants,phase1_package_accounting,buildings,commercial,commercial_building_services,role_activity,1.0,Initial one to one mapping from current reporting labels.
account_remaining_residential_building_services__phase1_accounting,account_remaining_residential_building_services,phase1_package_accounting,buildings,residential_other,Residential other,role_activity,1.0,Initial one to one mapping from current reporting labels.
account_remaining_commercial_building_services__phase1_accounting,account_remaining_commercial_building_services,phase1_package_accounting,buildings,commercial_other,Commercial other,role_activity,1.0,Initial one to one mapping from current reporting labels.
move_passengers_by_road__phase1_accounting,move_passengers_by_road,phase1_package_accounting,road_transport,passenger_road,passenger_road_transport,role_activity,1.0,Initial one to one mapping from current reporting labels.
move_freight_by_road__phase1_accounting,move_freight_by_road,phase1_package_accounting,road_transport,freight_road,freight_road_transport,role_activity,1.0,Initial one to one mapping from current reporting labels.
account_residual_transport__phase1_accounting,account_residual_transport,phase1_package_accounting,road_transport,transport_other,Transport other,role_activity,1.0,Initial one to one mapping from current reporting labels.
deliver_low_temperature_heat__phase1_accounting,deliver_low_temperature_heat,phase1_package_accounting,generic_industrial_heat,low_temperature_heat,low_temperature_heat,role_activity,1.0,Initial one to one mapping from current reporting labels.
deliver_medium_temperature_heat__phase1_accounting,deliver_medium_temperature_heat,phase1_package_accounting,generic_industrial_heat,medium_temperature_heat,medium_temperature_heat,role_activity,1.0,Initial one to one mapping from current reporting labels.
